kind,id,key,value
task,78,dev_start,199.99
task,78,dev_end,207.58
task,78,test_queue_length,0.0
task,78,test_time,6.95
task,78,test_start,209.78
task,78,test_end,216.73
task,79,arrived,143.39
task,79,dev_queue_length,0.0
task,79,dev_time,2.75
task,79,dev_start,203.47
task,79,dev_end,206.22
task,79,test_queue_length,0.0
task,79,test_time,6.49
task,79,test_start,207.29
task,79,test_end,213.78
task,80,arrived,146.31
task,80,dev_queue_length,0.0
task,80,dev_time,6.05
task,80,dev_start,206.22
task,80,dev_end,212.27
task,80,test_queue_length,0.0
task,80,test_time,1.86
task,80,test_start,216.73
task,80,test_end,218.58
task,81,arrived,146.93
task,81,dev_queue_length,0.0
task,81,dev_time,3.12
task,81,dev_start,207.58
task,81,dev_end,210.7
task,81,test_queue_length,0.0
task,81,test_time,7.86
task,81,test_start,213.78
task,81,test_end,221.65
task,82,arrived,147.44
task,82,dev_queue_length,0.0
task,82,dev_time,4.33
task,82,dev_start,210.7
task,82,dev_end,215.03
task,82,test_queue_length,0.0
task,82,test_time,5.82
task,82,test_start,218.58
task,82,test_end,224.41
task,83,arrived,149.62
task,83,dev_queue_length,0.0
task,83,dev_time,6.06
task,83,dev_start,212.27
task,83,dev_end,218.33
task,83,test_queue_length,0.0
task,83,test_time,5.55
task,83,test_start,221.65
task,83,test_end,227.2
task,84,arrived,153.62
task,84,dev_queue_length,0.0
task,84,dev_time,9.23
task,84,dev_start,215.03
task,84,dev_end,224.26
task,84,test_queue_length,0.0
task,84,test_time,1.76
task,84,test_start,224.41
task,84,test_end,226.17
task,85,arrived,153.68
task,85,dev_queue_length,0.0
task,85,dev_time,9.22
task,85,dev_start,218.33
task,85,dev_end,227.55
task,85,test_queue_length,0.0
task,85,test_time,7.37
task,85,test_start,227.55
task,85,test_end,234.92
task,86,arrived,154.6
task,86,dev_queue_length,0.0
task,86,dev_time,4.6
task,86,dev_start,224.26
task,86,dev_end,228.86
task,86,test_queue_length,0.0
task,86,test_time,5.79
task,86,test_start,228.86
task,86,test_end,234.65
task,87,arrived,155.7
task,87,dev_queue_length,0.0
task,87,dev_time,2.0
task,87,dev_start,227.55
task,87,dev_end,229.55
task,87,test_queue_length,0.0
task,87,test_time,2.74
task,87,test_start,234.65
task,87,test_end,237.4
